Source,Target
288C*,Other_Animals_and_Objects_220_AI299
288C*,Other_Animals_and_Objects_220_AI299
1804D,Other_Jokes_about_Religious_Figures_1800_AI1849
1804D,Other_Jokes_about_Religious_Figures_1800_AI1849
1804D,J1169.7
281A*,281
281A*,281
929,Clever_Acts_and_Words_920_AI929
929,Clever_Acts_and_Words_920_AI929
929,J1130
929,N178
929,N251.1
1449*,Stories_about_a_Woman_1440_AI1524
1449*,Stories_about_a_Woman_1440_AI1524
1449*,J1561.4.1
1449*,J1561.4.1
1462,Looking_for_a_Wife_1450_AI1474
1462,Looking_for_a_Wife_1450_AI1474
1462,K1971.6
1462,1594
161A*,Wild_Animals_and_Humans_150_AI199
161A*,Wild_Animals_and_Humans_150_AI199
161A*,163B*
161A*,163B*
117*,47D
117*,47D
117*,J2187
1698I,The_Stupid_Man_1675_AI1724
1698I,The_Stupid_Man_1675_AI1724
1698I,X111.9
1698I,X111.9
910M,Good_Precepts_910_AI919
910M,Good_Precepts_910_AI919
910M,J215.2.1
1369,Stories_about_Married_Couples_1350_AI1439
1369,Stories_about_Married_Couples_1350_AI1439
1369,J1442.11.1
1369,J1442.11
830A,Other_Religious_Tales_827_AI849
830A,Other_Religious_Tales_827_AI849
830A,A2412.1.1
830A,Q223.2
830A,E161
830A,Q221.6
1204**,Stories_about_a_Fool_1200_AI1349
1204**,Stories_about_a_Fool_1200_AI1349
1204**,J1900
921D*,Clever_Acts_and_Words_920_AI929
921D*,Clever_Acts_and_Words_920_AI929
921D*,1702C*
921D*,1702C*
921D*,K318
921D*,J1252
924,Clever_Acts_and_Words_920_AI929
924,Clever_Acts_and_Words_920_AI929
924,924A
924,924A
924,924B
924,924B
924,J1804
924,H607.1
924,1931
924,2718
924,2915
162,Wild_Animals_and_Humans_150_AI199
162,Wild_Animals_and_Humans_150_AI199
162,J1032
162,J582.1
1288*,1288
1288*,1288
842B*,672C*
842B*,672C*
1750,The_Clergyman_Is_Tricked_1725_AI1774
1750,The_Clergyman_Is_Tricked_1725_AI1774
1750,J1882.1
1750,J1882.1
1750,K1271.1.3
1750,K1271.1.3
1750,38
804,Heaven_800_AI809
804,Heaven_800_AI809
804,A661.0.1.2
804,A661.0.1.2
804,Q291.1
804,Q291.1
804,F51.1.3
804,F51.1.3
1479*,Jokes_about_Old_Maids_1475_AI1499
1479*,Jokes_about_Old_Maids_1475_AI1499
1479*,X753
1479*,X753
674,Supernatural_Power_or_Knowledge_650_AI699
674,Supernatural_Power_or_Knowledge_650_AI699
674,N365.1.1
674,N451
853A,The_Man_Marries_the_Princess_850_AI869
853A,The_Man_Marries_the_Princess_850_AI869
853A,K1331
1634C*,1634*
1634C*,1634*
1358,Stories_about_Married_Couples_1350_AI1439
1358,Stories_about_Married_Couples_1350_AI1439
1358,1735
1358,2167
1711*,The_Stupid_Man_1675_AI1724
1711*,The_Stupid_Man_1675_AI1724
1781,Clergyman_and_Sexton_1775_AI1799
1781,Clergyman_and_Sexton_1775_AI1799
1781,K1541
445*,813B
445*,813B
1896*,1894
1896*,1894
1896*,X1124.4
1890A,1890F
1890A,1890F
1120,Man_Kills_(Injures)_Ogre_1115_AI1144
1120,Man_Kills_(Injures)_Ogre_1115_AI1144
1120,G519.1.4
1120,755
1120,1511
1120,1512
1120,1534
2320,2013
2320,2013
43,The_Clever_Fox_(Other_Animal)_1_AI69
43,The_Clever_Fox_(Other_Animal)_1_AI69
43,1097
43,1097
43,J741.1
43,J741.1
295,Other_Animals_and_Objects_220_AI299
295,Other_Animals_and_Objects_220_AI299
295,2034A
295,2034A
295,F1025.1
295,F1025.1
295,A2741.1
295,A2741.1
295,A2793.1
295,Z41.4.1
295,2485
295,2897
1567F,The_Clever_Man_1525_AI1639
1567F,The_Clever_Man_1525_AI1639
1567F,J1341.6
75,Other_Wild_Animals_70_AI99
75,Other_Wild_Animals_70_AI99
75,B437.2
75,B437.2
75,J426
75,B371.1
75,B371.1
75,B363
75,B363
75,B545.1
75,B545
75,W154.3.1
122M*,Wild_Animals_and_Domestic_Animals_100_AI149
122M*,Wild_Animals_and_Domestic_Animals_100_AI149
122M*,126C*
122M*,126C*
1543,The_Clever_Man_1525_AI1639
1543,The_Clever_Man_1525_AI1639
1543,J1473.1
1543,K464
239,Birds_220_AI249
239,Birds_220_AI249
239,K642.1
1645B,Lucky_Accidents_1640_AI1674
1645B,Lucky_Accidents_1640_AI1674
1645B,X31
934,Tales_of_Fate_930_AI949
934,Tales_of_Fate_930_AI949
934,937*
934,937*
934,934B*
934,934B*
934,934E
934,934E
934,934C*
934,934C*
934,934D*
934,934D*
934,934A
934,934A
934,934E**
934,934E**
934,934B
934,934B
934,934A*
934,934A*
934,937A*
934,937A*
934,M341.2.3
934,M301.12
934,M341.1.1
934,M370.1
934,M341.1.4
934,M341.2.2
934,M341.2.10
934,K1811.0.2
934,M370
934,K2371.2
934,F901.1
934,F901.1.1
934,M341.2.6
934,M341.2
934,M341.2.4
934,M341.2.21
934,N121.3
934,M341.1
934,M372
934,M372.1
705A*,Other_Tales_of_the_Supernatural_700_AI749
705A*,Other_Tales_of_the_Supernatural_700_AI749
Jokes_about_Old_Maids_1475_AI1499,Stories_about_a_Woman_1440_AI1524
Jokes_about_Old_Maids_1475_AI1499,Stories_about_a_Woman_1440_AI1524
Jokes_about_Old_Maids_1475_AI1499,1475
Jokes_about_Old_Maids_1475_AI1499,1475
Jokes_about_Old_Maids_1475_AI1499,1477
Jokes_about_Old_Maids_1475_AI1499,1477
Jokes_about_Old_Maids_1475_AI1499,1476
Jokes_about_Old_Maids_1475_AI1499,1476
Jokes_about_Old_Maids_1475_AI1499,1476B
Jokes_about_Old_Maids_1475_AI1499,1476B
Jokes_about_Old_Maids_1475_AI1499,1486*
Jokes_about_Old_Maids_1475_AI1499,1486*
Jokes_about_Old_Maids_1475_AI1499,1485*
Jokes_about_Old_Maids_1475_AI1499,1485*
Jokes_about_Old_Maids_1475_AI1499,1478
Jokes_about_Old_Maids_1475_AI1499,1478
Jokes_about_Old_Maids_1475_AI1499,1485A*
Jokes_about_Old_Maids_1475_AI1499,1485A*
Jokes_about_Old_Maids_1475_AI1499,1476A
Jokes_about_Old_Maids_1475_AI1499,1476A
Jokes_about_Old_Maids_1475_AI1499,1488
Jokes_about_Old_Maids_1475_AI1499,1488
468,317
468,317
1920F,Tall_Tales_1875_AI1999
1920F,Tall_Tales_1875_AI1999
1350,Stories_about_Married_Couples_1350_AI1439
1350,Stories_about_Married_Couples_1350_AI1439
1350,K2213
1350,T231.3
1350,T231.3
1350,K2052.4.3
1350,H466
1350,H466
1350,488
1350,607
1350,759
1350,948
1350,1430
1350,1995
1350,2177
1350,2453
1868,Anecdotes_about_Other_Groups_of_People_1850_AI1874
1868,Anecdotes_about_Other_Groups_of_People_1850_AI1874
711,Other_Tales_of_the_Supernatural_700_AI749
711,Other_Tales_of_the_Supernatural_700_AI749
711,L162
711,T551.3
711,T551.3
711,L145.1
711,L145.1
711,T548.2
711,T548.2
711,D1860
711,D732
711,C152
711,G200
711,P252.1
112*,Wild_Animals_and_Domestic_Animals_100_AI149
112*,Wild_Animals_and_Domestic_Animals_100_AI149
1862E,Anecdotes_about_Other_Groups_of_People_1850_AI1874
1862E,Anecdotes_about_Other_Groups_of_People_1850_AI1874
1862E,N63
1612,The_Clever_Man_1525_AI1639
1612,The_Clever_Man_1525_AI1639
1612,K1761
1612,K1761
1612,628
1612,644
1612,1214
1612,1454
1612,1893
1612,2620
