start,end,label,,
A100,A499, GODS,,
A600,A899, COSMOGONY AND COSMOLOGY,,
A1200,A1699, CREATION AND ORDERING OF HUMAN LIFE,,
A1700,A2199, CREATION OF ANIMAL LIFE,,
A2200,A2599, ANIMAL CHARACTERISTICS,,
A0,A99, Creator,,
A100,A499, Gods,,
A100,A199, The gods in general,,
A200,A299, Gods of the upper world,,
A300,A399, Gods of the underworld,,
A400,A499, Gods of the earth,,
A500,A599, Demigods and culture heroes,,
A600,A899, Cosmogony and cosmology,,
A600,A699, The universe,,
A600,A649, Creation of the universe,,
A650,A699, Nature of the universe,,
A700,A799, The heavens,,
A710,A739, The sun,,
A740,A759, The moon,,
A760,A789, The stars,,
A800,A899, The earth,,
A800,A839,,,
A900,A999, Topographical features of the earth,,
A910,A949, Water features,,
A950,A999, Land features,,
A1000,A1099, World calamities and renewals,,
A1100,A1199, Establishment of natural order,,
A1200,A1699, Creation and ordering of human life,,
A1200,A1299, Creation of man,,
A1300,A1399, Ordering of human life,,
A1400,A1499, Acquisition of culture,,
A1500,A1599, Origin of customs,,
A1600,A1699, Distribution and differentiation of peoples,,
A1700,A2199, Creation of animal life,,
A1700,A1799, Creation of animal life -- general,,
A1800,A1899, Creation of mammals,,
A1810,A1839, Creation of carnivora,,
A1900,A1999, Creation of birds,,
A2000,A2099, Creation of insects,,
A2100,A2199, Creation of fish and other animals,,
A2100,A2139, Creation of fish,,
A2160,A2199, Origin of amphibians and other animal forms,,
A2200,A2599, Animal characteristics,,
A2200,A2299, Various causes of animal characteristics,,
A2300,A2399, Causes of animal characteristics: body,,
A2400,A2499, Causes of animal characteristics: appearance and habits,,
A2500,A2599, Animal characteristics -- miscellaneous,,
A2600,A2699, Origin of trees and plants,,
A2600,A2649, Various origins of plants,,
A2650,A2699, Origin of various plants and trees,,
A2700,A2799, Origin of plant characteristics,,
A2700,A2749, Various origins of plant characteristics,,
A2750,A2799, Origin of various plant characteristics,,
A2800,A2899, Miscellaneous explanations,,
A2800,A2849, Miscellaneous explanations: origins,,
A2850,A2899, Miscellaneous explanations: characteristics,,
B300,B599, FRIENDLY ANIMALS,,
B0,B99, Mythical animals,,
B100,B199, Magic animals,,
B100,B119, Treasure animals,,
B120,B169, Animals with magic wisdom,,
B170,B189, Other magic animals,,
B200,B299, Animals with human traits,,
B300,B599, Friendly animals,,
B300,B349, Helpful animals -- general,,
B350,B399, Grateful animals,,
B400,B499, Kinds of helpful animals,,
B400,B449, Helpful beasts,,
B500,B599, Services of helpful animals,,
B600,B699, Marriage of person to animal,,
B700,B799, Fanciful traits of animals,,
B720,B749, Fanciful physical qualities of animals,,
B800,B899, Miscellaneous animal motifs,,
,,,,
C0,C99, Tabu connected with supernatural beings,,
C100,C199, Sex tabu,,
C200,C299, Eating and drinking tabu,,
C200,C249, Eating tabus,,
C250,C279, Drinking tabus,,
C300,C399, Looking tabu,,
C400,C499, Speaking tabu,,
C500,C549, Tabu: touching,,
C550,C599, Class tabu,,
C600,C699, Unique prohibitions and compulsions,,
C600,C649, The one forbidden thing,,
C650,C699, The one compulsory thing,,
C700,C899, Miscellaneous tabus,,
C830,C899, Unclassified tabus,,
C900,C999, Punishment for breaking tabu,,
,,,,
D0,D699, TRANSFORMATION,,
D800,D1699, MAGIC OBJECTS,,
D1700,D2199, MAGIC POWERS AND MANIFESTATIONS,,
D0,D699, TRANSFORMATION,,
D10,D99, Transformation: man to different man,,
D100,D199, Transformation: man to animal,,
D110,D149, TRANSFORMATION: MAN TO MAMMAL,,
D200,D299, Transformation: man to object,,
D300,D399, Transformation: animal to person,,
D310,D349, TRANSFORMATION: MAMMAL TO PERSON,,
D400,D499, Other forms of transformation,,
D450,D499, TRANSFORMATION: OBJECT TO OBJECT,,
D500,D599, Means of transformation,,
D600,D699, Miscellaneous transformation incidents,,
D700,D799, Disenchantment,,
D800,D1699, MAGIC OBJECTS,,
D800,D899, Ownership of magic objects,,
D810,D859, ACQUISITION OF MAGIC OBJECT,,
D900,D1299, Kinds of magic objects,,
D990,D1029, MAGIC BODILY MEMBERS,,
D1300,D1599, Function of magic objects,,
D1300,D1379, MAGIC OBJECTS EFFECT CHANGES IN PERSONS,,
D1400,D1439, MAGIC OBJECT GIVES POWER OVER OTHER PERSONS,,
D1600,D1699, Characteristics of magic objects,,
D1600,D1649, AUTOMATIC MAGIC OBJECTS,,
D1700,D2199, MAGIC POWERS AND MANIFESTATIONS,,
D1710,D1799, Possession and means of employment of magic powers,,
D1800,D2199, Manifestations of magic power,,
D1800,D1949, LASTING MAGIC QUALITIES,,
D1950,D2049, TEMPORARY MAGIC CHARACTERISTICS,,
D2050,D2099, DESTRUCTIVE MAGIC POWERS,,
D2100,D2199, OTHER MANIFESTATIONS OF MAGIC POWER,,
D2150,D2199, Miscellaneous magical manifestations,,
,,,,
E200,E599, GHOSTS AND OTHER REVENANTS,,
E0,E199, Resuscitation,,
E200,E599, Ghosts and other revenants,,
E200,E299, Malevolent return from the dead,,
E300,E399, Friendly return from the dead,,
