new_id,name
8757,Oude Vertelling voor Kinderen
39685,Vertelling van Stoute Keuchje
34759,Vertelsel
34652,De Keuman
34710,Keutje
34731,Eene Vertelling
34866,"Een oud sprookje, dat reeds op verschillende manieren vernieuwd is."
39465,Keutje in den maneschijn
40637,Een ouderwetsch Friesch kinderverhaal
40638,Friesch oud vertelsel
40691,Sprookje
40692,Keutje
40761,'t Varken wou niet gaan
40703,Peeke
13131,vertelling
13134,vertelling op rijm: Keutje
13144,Waarom de varkens in de grond wroeten
13150,Waarom alle varkens steeds loopen te snuffelen
13151,"Een kort avertuurtje, een lang avertuurtje, van rooje en witte kousjes."
13152,Een plaagliedje
13153,Sinte Matthijs
13155,Ik ging zoo verre naar Holland
13156,Een leugen
13157,Reuzenei belegerd
13164,Een slimme streek
13165,Wat zeit David?
13166,Een aardigheid
13171,Pastoors Verken
34653,De Egmonders in den hemel
34654,"Van den haan, den vlegel en de pik"
34656,De bekwame waarzegger
34685,Klein Kobusje: gesprek met een Broeker
34702,Een domme Uilenspiegel
34703,Moppenmaker
34709,De lange lente
34711,Van een Student die een Boerin bedroogh
34714,Van iemand die uit den hemel gevallen was
34732,De schoenmaker van Parijs
34733,"Een kluchtig liedje, van de goedigheid eener weduw-vrouw"
34735,Van twei bruirs dei heur peer'vel'n verkoften.
34741,De Dree Soldaoten.
34757,De gestolen koe
34761,Het vertelsel van Slimmen Jan
34765,[Slimme Jan]
34774,Een Sprookje
34777,De Schoorsteenveger en de papegaai
34787,De gevonden schat
34856,Het Gevunnen Geld.
39391,Wie een kuil graaft voor een ander valt er dikwils zelf in
39463,De bestiering
39506,De gelukkige molenaarsknecht
39585,De Student Toovenaar
39637,Van 't schoenmakerken
39638,Het Paardenei
13096,"""De dienstknecht"""
13099,Slim Volk
13135,"Van Boer Bezemen, Boer Bladeren en Boer IJzer"
13176,Een vertelseltien van Eldert en Brandert op 't Eldertsveld
13177,Van 't Huis met de Hoofden
34651,Een meid was alleen te huis 
34668,'t Huis met de Hoofden
34760,Het raadsel
34780,Zoo geren as zout
34867,De vernuftige boerendochter
40747,Ieder zijne beurt maar een zelfde alles
40755,Sint Pieter krijgt klop
34675,Het Gouden Spinnewiel
34723,Het takje van Cecilia
34728,Het sprookje van 't kruisje van Fideldideldom (zooals het in Drenthe mij als kind verteld werd)
34745,Het bloempje van Cedrea
34753,Het kruis van Philédon of het kruisje Fiblion?
34758,Het kruisje van Fibelion
34764,Het verhaaltje van het kruisje fiblion
34773,oud vertelsel
34775,Het zilveren staafje
34786,Sint Eleu en de smid
34789,Het vrouwtje van Stavoren
39383,Janneken en Mieken
39432,Jantje met den Molensteen
39445,Sprookje
39448,Sprookje van den boozen stiefmoeder
39461,Het verhaaltje van het mosterdpotje
40630,Hoe Jantje door zijn booze stiefmoeder wordt geslacht
34782,Het sprookje van Jan en Betje
39498,Het mannetje in de maan.
40709,Van den halven Haan
39696,Van de zeven aapjes
34776,Duimke
34791,Duimeken
34797,Klein Duimpje
34800,Janmainje met 't mosterdpotje
34825,Van Kannegien  vuul
34839,De Hoepentoep
34841,Hoû vast!
34845,Aan-plak-aan
40722,"Van de schoone prinses, die nooit gelachen had"
40736,Van het vischje in de zee
40759,"Vischje, vischje in de zee"
8651,"Van de schoone schildersdochter, van de booze Zwarte Griet en van Kokodeike."
34837,[Van de schoone Schildersdochter]
34823,De  zeven winnaars der koninginne van Mississipi
40715,Van Asschekladdeken
40741,"Van den koning en van Jenne, zijn zoet liefken"
13107,Vuilvelleken
13043,Van de Koningsdochter
34831,Van het Meisje dat met een Puit trouwde
34817,Het sprookje van den kikvorsch
10786,Rozerood en Lelieblank
13140,Rozina
39497,Het sprookje van de betooverde bok en het glazen brugje
40718,De Gouden Bal
40626,Vertelsel om te doen schrikken. De Spookhand
8857,Het Zilveren Been
13137,Het gouden beentje
13169,Een raadselsprookje
34785,Van drie Gebroeders
10764,"Het sprookje van een man, een bed en den dood"
13086,Brave Petrus en zijn Zak
40744,De smid en de duivel
9879,Zonder kousenbanden
40757,Adjendodderken en Anneken - Tooverheks
10801,Vetmoleken
39501,Janman in het papieren huusien
34847,Het Chocolade Huisje
34763,Jan Zonder Angst. Een Spookgeschiedenis
13109,Jan Martin de Wildeman
10802,De koning van Zevenbergen
13088,Het sprookje van den Moolenaar en de meelpoppen
34739,Duizendponderken
34767,Sint Joris en de Draak
39597,"Boontje, Strootje en Kooltje-Vuur"
34677,Waarom 't koffieboontje een barstje in 't buikje heeft
40712,Waarom of de boontjes zwarte stipjes hebben
40745,Vertelsel
40746,"""Boontje komt om zijn loontje"""
9883,Van een hond en een muschje.
9886,De weddenschap tusschen den ooijevaar en het winterkoninkje
13042,Geluid van 't Winterkoningje
34818,Waarom de honden onder elkanders staert rieken
34766,De Wolf en de Vos.
10721,De hond van 's Graven-Wezel
13146,Het sprookje van de zeven Geitjes
13079,De geschiedenis van Oud-Bovetje
40740,Oud Boobetje
10765,Waarom de haas eene gespleten lip heeft?
10789,"De vos, de beer en het tobbeken vet"
34809,De Vos en de Wolf
34811,Waarom de beren geenen staert hebben?
10716,Jan met de kunstpot
40753,Domme Hans.
40713,"De Sage van ""Lenore"""
34843,"Jan-man, die in een papieren huisje woonde"
40743,De tooverheks
9849,Waarom de labboonen een lidteeken hebben
9859,De bedrogen pastoor
10793,Van de drie Poepen
13097,"Een legende, algemeen bekend aan den ""Waalkant"" (Neder Betuwe)"
13092,Toovernij in Opheusden
9165,Toovernij in Opheusden
13054,Toovernij in Opheusden
34674,Waarom een spin zoo goed weven kan
34751,Van de hand boven 't graf
39584,Bijgeloovigheid
34670,Spoken
34679,De legende van de kei
34680,Waalwijk en Baardwijk
34682,"Spookje spookje Hildebrand, kom van boven en lang mij de hand!"
34770,Gered
39357,Hoe het schip van stapel loopen moest
39394,"De man, die zijn ziel aan de duivel verkocht had."
39426,De goddelooze vrouw
39427,Joffer zonder kop; De legende van Valkenburg's ruïne
39430,"De ziel van Reginald, legende uit de dertiende eeuw"
39444,Op School.
39450,Studenten-Gevatheid.
39451,Trotschheid Gestraft.
39452,Een Mislukte Toer.
39454,Een Leepe Veldwachter.
39504,Een Blindeman Zooals Er Meer Zijn.
39510,Antwerpen
39511,Aarschot
39695,Hoboken
40639,Tweeërlei Beteekenis.
40752,BIjgeloof
34779,Eene Oude Manier Van Stelen.
10767,Een Sprookje
8686,Melken uit een russchentop: oud verhaal
10735,Oud verhaal
34736,Faust op Waardenburg . Legende Gelderland
34824,De hemelsleutelbloem. Een legende.
10731,Een pra[a]tje over de katten als heksen.
10753,Het ophangen van den paardenhaam of nageboorte van een veulen
13057,Een vertelling bij een lampje met een katoenpitje en in raapolie gebrand.
13077,Een vertelling van iemand die met de helm geboren is.
13087,Tooverappelen
13095,Over de ongelukkige[n] welke den nacht niet droog kunnen overliggen.
13100,Terschellinger legende
13129,Het Trien Jelmersgat
13175,Apeldoornsche Keientrekkers
34663,Gebannen
34742,Middel voor de Podagra
34778,Iets Bezonders
39393,Hoe de vrouw is ontstaan
39678,"Het ""Onze Vader"" gepersifleerd"
40640,Een Spookgeschiedenis
39692,Een nette familie
10754,Afdoende Reden.
8690,Beersel
34771,Een Snijder in de Klem.
9880,Een Parijsche Straatjongen.
13055,Zoo Niet Bedoeld.
13075,Tot engel gepromoveerd.
13112,De Olde Tooverhekse
13121,De Helm
13136,Zwarte Tijs
13168,voorspellingen
34655,Lied van een wolvenjacht gebeurdt te Beilen in Drenthe in den jare (ik meen) 1695
34667,Van den Markgrave
34672,Van den papegaai
34704,Bijgeloovigheden
34715,Scheldnamen - Legenden
34730,Om wratten te verdrijven:
34740,De wratten
39446,Eenige scheldnamen van de eene plaats op de andere.
39455,Schimprijmen
39693,Vertelling
9884,Volksbijgeloovigheden
9871,Legende van Schouwen
34784,Scheldnamen voor verschillende plaatsen
9858,"Scheldnamen, gegeven aan bewoners van bepaalde plaatsen"
9875,Scheldnamen
13050,Volkssprookje in Doornspijk
39596,Buntmansberg
34792,Westschouwens ondergang.
34798,Hoe men heksen leert kennen
13115,Zevende zoon
10751,Heksen
10749,Blauwe Gerrit
10750,Sommetjesberg op Texel
10752,Scheldnamen op de inwoners van sommige plaatsen
34734,Amersfoortsche Keientrekkers
13085,Scheldnamen voor bewoners uit andere plaatsen
13044,vuils of vuifs
13116,zoogenaamde voorloopers
13133,Het volksgeloof zegt:
34744,Eenige scheldnamen voor jongens eener zelfde plaats
34756,scheldwoorden op plaatsen
9876,Bijgeloof
9877,Van de vier Gasten
10717,De twee Koningskinderen
13083,Bijgeloof
10761,Scheldnamen
10762,De Amersfoortsche kei
10763,Zonderlinge huismiddeltjes
9848,Bijgeloof
9851,"Betweterij en bijgeloof, ook bij den landbouw"
13081,Recept voor de genezing van wratten.
12948,Mannetje in de maan
13047,Derk met den Beer
13122,Tooverij op het erve Marmelink in Okkenbroek onder Diepenveen.
13149,Op 't gebied van bijgeloof
13046,weervoorspellingen en andere orakeltaal
10785,Middelen tegen wratten
13167,Volksweervoorspellingen
34669,Oude Recepten
34678,Middel tegen kiespijn
39609,De betooverde boeier
10744,Scheldnamen in mijne omgeving
10745,Folklore en spookverhalen
10746,spotlied op plaatsnamen
39406,Bloedverwantschap
10787,Zoo zijn er.
13076,Een Speelwerk
9850,Van een Vader en een Zoon
34687,De Twee Meiden
34708,Een fijne familie
40730,Hoe 't manneken zijne koe verkocht
9839,De Pastoor van Calcken
9878,De Waterduivel
13106,De Vuurman te Baasrode
12947,Karloken
12946,Het slimme Siesken
13062,De Vrijagie van Pierken Poeleken
10784,Hoovaerdige Sies
9869,"De Trotmeulen van Pollaere, ook geheeten de St-Amandusput."
9094,De Drakenput van Wetteren
13073,De 'Gouden  Mahomet' te Wanzele
10766,De Sint Aldegondisput
34684,De Doodskop
39513,Het verwenschte Kalf
13052,Kludde
13093,De zwarte Madam
13098,Een Kring om de Maan
34720,Jefken de Speelman
34738,Neem 'nen Man!
39574,[Ammansput]
13119,Barrik barrak!
39595,In de Bergstraat te Antwerpen
13108,Muziekmakende Tooverheksen
39428,De Kruiszwaan
13145,Een weerwolf verlost
10722,"Een pastoor, die geen latijn kent"
34851,[Oorsprong van de naam Troterer]
10719,"Gravin Machteld, de ongeloovige"
13072,Spoken te Oud-Turnhout
13074,Waarom de vlooi geschapen werd?
34683,Waarom de kwakkel geenen staert heeft
34743,Drink 'et uit en schink nog één
40632,Het begijntje
10727,De oorsprong der vrouw
10737,Het gebraden hoen
13051,Gypnissen
10724,Bergmannetjes te Casterlé
40754,De kraai en de puit
13049,Geeraard de Duivel
34849,De Heirnesse te Gent
40714,Den Hoogen Blekker
10743,De Avinnenberg te Denderleeuw
34673,Hoe de Gemeenten aan hunnen naam gekomen zijn
13048,Hoe Vinkhem aan zijnen naam gekomen is
10729,De Klokkenput te Diepenbeek
8758,Satan blaast het licht uit
9286,De schuur van Hamelgem
8764,De Blauw'-schuur te Kessel-Loo
9276,De Zwarte Poel te Everbergh
8666,Jan de Rotter
8667,De gezonken Klok
8668,De Ridder van Keverenberg
8669,Van het Haasken
8702,De Waterduivel
9041,De dikke Linde te Vlierzele
8841,Brabantsche Overleveringen
8718,(Brabantsche Overleveringen)
9360,(Brabantsche Overleveringen)
8652,(Brabantsche Overleveringen)
8859,(Brabantsche Overleveringen)
9307,
9308,
8654,
9120,
9365,
8765,
8674,
8838,
8839,
8696,
8845,
9334,
9122,
8766,
9340,
8691,
9253,
9064,
8735,
8684,
8998,
9077,
9017,
8783,
9028,
9102,
9092,
9115,
9126,
9125,
8678,
9277,
9309,
9113,
9176,
9024,
9010,
9168,
9212,
9325,
8700,
8797,
9191,
8860,
8861,
9083,
9324,
8685,
9261,
9288,
9085,
9361,
9119,
9363,
8787,
8840,
8687,
8782,
8661,
8688,
8689,
9084,
9118,
8660,
8662,
9166,
9213,
9202,
9246,
9335,
8851,
9141,
9203,
9117,
9026,
8790,
9060,
8682,
8746,
8649,
9351,
9352,
9357,
9278,
9180,
8671,
8743,
9255,
9376,
8854,
8683,
9021,
9018,
8650,
9254,
8680,
29882,
9022,
9082,
8600,
8601,
8745,
8755,
9086,
9011,
8634,
9251,
9337,
9252,
29883,
8677,
8856,
9027,
34681,
34726,
13138,
13045,
13053,
13056,
13058,
13059,
13060,
13061,
13063,
13064,
13065,
13066,
13067,
13068,
13069,
13070,
13071,
13078,
13080,
13084,
13089,
13090,
13091,
13094,
13101,
13102,
13103,
13104,
13105,
13110,
13111,
13113,
13114,
13117,
13118,
13120,
13123,
13124,
13125,
13126,
13127,
13128,
13130,
13132,
13139,
13141,
13142,
13143,
13147,
13148,
13154,
13158,
13159,
13160,
13161,
13162,
13163,
13170,
13172,
13173,
13174,
13178,
34657,
34658,
34659,
34660,
34661,
34662,
34664,
34665,
34666,
34671,
34676,
34686,
34688,
34689,
34690,
34691,
34692,
34693,
34694,
34695,
34696,
34697,
34698,
34699,
34700,
34701,
34705,
34706,
34707,
34712,
34713,
34716,
34717,
34718,
34719,
34721,
34722,
34724,
34725,
34727,
34729,
34737,
34746,
34747,
34748,
34749,
34750,
34752,
34754,
34755,
34762,
34768,
34769,
34772,
34781,
34783,
34788,
34790,
34793,
34794,
34795,
34796,
34799,
34801,
34802,
34803,
34804,
34805,
34806,
34807,
34808,
34810,
34812,
34813,
34814,
34815,
34816,
34819,
34820,
34821,
34822,
34826,
34827,
34828,
34829,
34830,
34832,
34833,
34834,
34835,
34836,
34838,
34840,
34842,
34844,
34846,
34848,
34850,
34852,
34853,
34854,
34855,
34862,
34863,
34864,
34865,
34868,
39345,
39346,
39347,
39348,
39349,
39358,
39359,
39360,
39361,
39362,
39369,
39379,
39380,
39381,
39382,
39385,
39390,
39392,
39405,
39407,
39408,
39419,
39429,
39431,
39433,
39435,
39436,
39437,
39438,
39439,
39440,
39441,
39442,
39447,
39453,
39462,
39464,
39466,
39467,
39495,
39496,
39500,
39502,
39503,
39505,
39507,
39508,
39509,
39512,
39514,
39515,
39569,
39570,
39571,
39572,
39573,
39586,
39587,
39590,
39591,
39594,
39598,
39599,
39600,
39601,
39602,
39603,
39604,
39605,
39606,
39607,
39608,
39610,
39611,
39612,
39613,
39614,
39615,
39616,
39617,
39618,
39619,
39620,
39621,
39622,
39623,
39624,
39625,
39626,
39627,
39628,
39629,
39630,
39631,
39632,
39633,
39634,
39635,
39636,
39639,
39640,
39641,
39642,
39643,
39644,
39645,
39646,
39647,
39671,
39672,
39673,
39674,
39676,
39677,
39679,
39680,
39681,
39682,
39683,
39684,
39686,
39687,
39688,
39690,
39691,
39694,
39697,
39698,
39699,
39700,
39701,
40622,
40629,
40634,
40704,
40705,
40706,
40707,
40708,
40710,
40711,
40716,
40717,
40719,
40720,
40721,
40723,
40724,
40725,
40726,
40727,
40728,
40729,
40731,
40732,
40733,
40734,
40735,
40737,
40738,
40739,
40742,
40748,
40749,
40750,
40751,
40756,
40758,
8599,
8602,
8603,
8604,
8605,
8606,
8607,
8608,
8609,
8610,
8611,
8612,
8613,
8614,
8615,
8616,
8617,
8618,
8619,
8620,
8621,
8622,
8623,
8624,
8625,
8626,
8627,
8628,
8629,
8630,
8631,
8632,
8633,
8635,
8636,
8637,
8638,
8639,
8640,
8641,
8642,
8643,
8644,
8645,
8646,
8647,
8648,
8653,
